Place,Athlete,Class,Team,Time,Points,Year
1,Graham Blanks,JR,Harvard,28:37.7,1,2023
2,Habtom Samuel,FR,New Mexico,28:40.7,2,2023
3,Ky Robinson,JR,Stanford,28:55.7,3,2023
4,Denis Kipngetich,FR,Oklahoma State,28:59.7,4,2023
5,Drew Bosley,SR,Northern Arizona,29:03.8,5,2023
6,Nico Young,JR,Northern Arizona,29:04.2,6,2023
7,Patrick Kiprop,JR,Arkansas,29:07.7,7,2023
8,Brian Musau,FR,Oklahoma State,29:11.0,8,2023
9,Parker Wolfe,JR,North Carolina,29:12.6,9,2023
10,Fouad Messaoudi,SO,Oklahoma State,29:13.3,10,2023
11,Devin Hart,SR,Texas,29:14.1,11,2023
12,Victor Shitsama,JR,Oklahoma State,29:16.1,12,2023
13,Kirami Yego,JR,Arkansas,29:17.2,13,2023
14,Liam Murphy,JR,Villanova,29:17.5,14,2023
15,Alex Maier,SR,Oklahoma State,29:20.2,15,2023
16,Sanele Masondo,JR,Iowa State,29:22.1,16,2023
17,Alex Phillip,SR,North Carolina,29:26.8,17,2023
18,Aaron Las Heras,SR,Northern Arizona,29:29.1,18,2023
19,Perry Mackinnon,SR,Syracuse,29:30.8,19,2023
20,Victor Kiprop,JR,Alabama,29:31.5,—,2023
21,Santiago Prosser,JR,Northern Arizona,29:32.6,20,2023
22,Jason Bowers,SO,East Tenn. St.,29:32.7,—,2023
23,Rodger Rivera,JR,Texas,29:33.0,21,2023
24,Dylan Schubert,JR,Furman,29:35.5,—,2023
25,Brodey Hasty,SR,Northern Arizona,29:36.3,22,2023
26,Matthew Richtman,SR,Montana State,29:36.8,23,2023
27,Tom Brady,SR,Michigan,29:37.1,24,2023
28,Luke Combs,SR,Air Force,29:38.2,25,2023
29,Nicholas Bendtsen,JR,Princeton,29:38.6,26,2023
30,Nickolas Scudder,SR,Charlotte,29:38.6,—,2023
31,Chris Devaney,SR,Loyola (Ill.),29:39.7,—,2023
32,James Corrigan,FR,BYU,29:40.1,27,2023
