Place,Name,Team,Time,Year
1, Betty Jo Springs,NC State,16:19.0,1981
2, LeAnn Warren,Oregon,16:25.3,1981
3, Aileen O'Connor,Virginia,16:27.7,1981
4, Kelly Cathey,Oklahoma,16:27.9,1981
5, Lesley Welsh,Virginia,16:27.9,1981
6, Joan Hansen,Arizona,16:29.6,1981
7, Bernadt Madigan,Kentucky,16:35.3,1981
8, Lisa Welsh,Virginia,16:38.2,1981
9, Kathy Bryant,Tennessee,16:41.5,1981
10, Cecelia Hopp,Stanford,16:46.0,1981
1, Lesley Welsh,Virginia,16:39.7,1982
2, Regina Joyce,Washington,17:07.0,1982
3, Ceci Hopp,Stanford,17:10.5,1982
4, Margaret Davis,Iowa State,17:12.0,1982
4, Jill Haworth,Virginia,17:12.0,1982
6, Wendy Van Hierlo,Illinois State,17:13.8,1982
7, Kathy Hadler,Tennessee,17:14.0,1982
8, Kate Wiley,Harvard,17:16.2,1982
9, Allison Wiley,Stanford,17:20.5,1982
10, Nanette Doak,Iowa,17:21.0,1982
1, Betty Jo Springs,NC State,16:30.7,1983
2, Nanette Doak,Iowa,16:35.2,1983
3, Kathy Hayes,Oregon,16:35.5,1983
4, Liz Natale,Tennessee,16:42.6,1983
5, Andrea Fischer,Missouri,16:49.1,1983
6, Sabrina Dornhoefer,Missouri,16:54.6,1983
7, Tina Krebs,Clemson,16:54.7,1983
8, Cathy Branta,Wisconsin,16:54.8,1983
9, Regina Jacobs,Stanford,16:59.3,1983
10, Patti Plumer,Stanford,17:00.7,1983
1, Cathy Branta,Wisconsin,16:15.6,1984
2, Shelly Steely,Florida,16:22.2,1984
3, Christine McMiken,Oklahoma State,16:30.0,1984
4, Regina Jacobs,Stanford,16:33.7,1984
5, Tina Krebs,Clemson,16:37.6,1984
6, Katie Ishmael,Wisconsin,16:37.7,1984
7, Allison Wiley,Stanford,16:40.4,1984
8, Janet Smith,NC State,16:44.6,1984
9, Sabrina Dornhoefer,Missouri,16:48.6,1984
10, Holly Murray,North Carolina,16:49.9,1984
1, Suzie Tuffey,NC State,16:22.5,1985
2, Regina Jacobs,Stanford,16:29.2,1985
3, Christine McMiken,Oklahoma State,16:30.0,1985
4, Polly Plumer,UCLA,16:31.8,1985
5, Elizabeth Natalie,Texas,16:32.3,1985
6, Jenny Stricker,Harvard,16:34.1,1985
7, Stephanie Herbst,Wisconsin,16:36.8,1985
8, Angela Chalmers,Northern Arizona,16:36.9,1985
9, Nora Collas,Houston,16:41.9,1985
10, Janet Smith,NC State,16:43.6,1985
1, Angela Chalmers,Northern Arizona,16:55.5,1986
2, Suzy Favor-Hamilton,Wisconsin,17:01.6,1986
3, Caroline Mullen,Western Michigan,17:07.6,1986
4, Ute Jamrozy,Clemson,17:11.9,1986
5, Sandy Blakeslee,Texas,17:17.5,1986
6, Chris Vanatt,Kansas State,17:18.3,1986
7, Renee Doyle,Iowa,17:18.5,1986
8, Stephanie Herbst,Wisconsin,17:18.7,1986
9, Kathryn Monard,Ohio State,17:19.6,1986
10, Elizabeth Natalie,Texas,17:21.3,1986
1, Kimberly Betz,Indiana,16:10.9,1987
