Place,Team,Score,1,2,3,4,5,6,7,Year
1,Oklahoma State,49,4,8,10,12,15,43,70,2023
2,Northern Arizona,71,5,6,18,20,22,51,69,2023
3,BYU,196,27,30,39,48,52,147,—,2023
4,Arkansas,211,7,13,36,72,83,—,—,2023
5,Iowa State,230,16,31,37,47,99,143,190,2023
6,North Carolina,249,9,17,38,64,121,194,201,2023
7,Texas,262,11,21,65,78,87,169,173,2023
8,Stanford,291,3,42,61,80,105,151,191,2023
9,Syracuse,299,19,29,73,88,90,193,—,2023
10,Wisconsin,330,35,57,62,68,108,154,—,2023
11,Princeton,345,26,49,79,84,107,137,142,2023
12,Air Force,368,25,53,55,100,135,145,—,2023
13,Montana State,374,23,46,59,112,134,149,196,2023
14,Notre Dame,398,41,56,77,97,127,138,183,2023
15,Harvard,398,1,40,82,113,162,174,—,2023
16,Cal Baptist,430,45,71,81,114,119,176,—,2023
17,NC State,435,44,58,85,92,156,158,—,2023
18,New Mexico,465,2,28,122,141,172,175,192,2023
19,Michigan,472,24,94,110,115,129,146,161,2023
20,Villanova,477,14,32,120,148,163,185,199,2023
21,Butler,484,54,66,74,131,159,170,200,2023
22,Virginia,512,50,60,96,140,166,184,197,2023
23,Portland,529,63,95,101,118,152,160,189,2023
24,Wake Forest,536,67,102,111,117,139,150,165,2023
25,Colorado,551,33,116,125,133,144,167,195,2023
26,Tennessee,556,75,103,124,126,128,153,180,2023
27,Florida State,620,34,109,132,168,177,181,—,2023
28,Gonzaga,647,91,98,123,157,178,179,—,2023
29,Iona,675,76,86,155,171,187,—,—,2023
30,Georgetown,686,104,106,130,164,182,186,—,2023
31,Eastern Kentucky,704,89,93,136,188,198,—,—,2023
1,Northern Arizona,83,2,3,18,24,36,79,127,2022
2,Oklahoma State,83,5,8,11,29,30,50,117,2022
3,BYU,132,7,20,28,33,44,45,49,2022
4,Stanford,195,1,10,48,67,69,101,162,2022
5,Wake Forest,204,19,21,25,53,86,99,144,2022
6,Wisconsin,212,15,32,42,51,72,76,159,2022
7,Air Force,264,27,46,54,66,71,80,92,2022
8,Colorado,281,34,40,64,65,78,94,98,2022
9,Tulsa,304,14,22,41,58,169,188,201,2022
10,North Carolina,323,9,59,68,91,96,113,163,2022
11,NC State,334,35,61,70,73,95,192,212,2022
12,Syracuse,340,43,55,74,75,93,104,130,2022
13,Gonzaga,400,38,56,87,107,112,170,186,2022
14,Washington,422,12,39,89,139,143,145,177,2022
15,Notre Dame,450,17,60,88,119,166,187,196,2022
16,Oregon,465,13,82,110,123,137,174,178,2022
17,Harvard,474,6,47,128,132,161,171,215,2022
18,Texas,506,26,83,115,122,160,193,202,2022
19,Villanova,513,81,85,103,109,135,156,200,2022
20,Tennessee,517,4,31,147,152,183,194,208,2022
21,Butler,553,16,102,140,142,153,164,182,2022
22,Virginia,557,90,108,114,120,125,138,155,2022
23,Arkansas,584,23,116,131,146,168,173,207,2022
24,Ole Miss,598,52,106,141,148,151,185,209,2022
25,Montana State,599,37,63,134,167,198,204,206,2022
26,Utah State,618,77,105,124,133,179,180,184,2022
27,Alabama,683,62,84,165,175,197,205,213,2022
28,Colorado State,704,118,121,150,157,158,181,211,2022
29,Michigan,708,57,129,136,191,195,199,203,2022
30,Princeton,712,97,100,154,172,189,210,—,2022
31,Georgetown,752,111,126,149,176,190,214,—,2022
1,Northern Arizona,92,6,9,11,32,34,97,136,2021
2,Iowa State,137,2,18,36,39,42,57,99,2021
3,Oklahoma State,186,19,23,25,51,68,123,190,2021
4,Arkansas,195,10,13,14,50,108,135,212,2021
5,Stanford,236,3,12,69,70,82,105,162,2021
6,Tulsa,237,29,37,45,52,74,124,131,2021
7,BYU,246,1,7,48,89,101,147,192,2021
8,Colorado,249,21,40,54,61,73,106,170,2021
9,Notre Dame,290,8,27,44,100,111,132,134,2021
10,Wake Forest,356,16,64,76,88,112,117,160,2021
11,Wisconsin,361,26,58,72,98,107,116,139,2021
12,Harvard,364,20,30,35,130,149,199,203,2021
13,Washington,373,33,65,75,86,114,127,140,2021
14,Texas,393,28,55,71,94,145,173,206,2021
15,Ole Miss,395,38,41,96,102,118,141,—,2021
16,Portland,430,46,56,81,122,125,152,174,2021
17,Air Force,453,22,83,109,119,120,143,151,2021
18,North Carolina,460,24,77,93,129,137,159,171,2021
19,Syracuse,485,49,67,78,103,188,207,214,2021
20,Florida State,517,5,17,154,163,178,193,204,2021
21,Minnesota,518,60,63,80,146,169,180,191,2021
22,Georgetown,566,79,92,115,138,142,177,183,2021
23,Princeton,567,59,85,126,144,153,156,181,2021
24,Southern Utah,573,62,90,91,158,172,182,186,2021
25,Michigan,588,66,104,110,133,175,210,213,2021
26,Gonzaga,612,31,113,121,150,197,202,205,2021
27,Alabama,640,43,47,176,185,189,209,—,2021
28,Butler,643,53,87,155,164,184,196,201,2021
29,Oregon,655,15,128,166,167,179,195,211,2021
30,Michigan State,681,4,157,165,168,187,194,198,2021
31,Furman,688,84,95,148,161,200,208,—,2021
1,Northern Arizona,60,3,5,6,8,38,54,129,2020
2,Notre Dame,87,9,18,19,20,21,31,193,2020
3,Oklahoma State,142,7,15,23,30,67,158,194,2020
4,Arkansas,181,10,33,34,49,55,140,175,2020
5,Stanford,194,13,14,39,60,68,85,121,2020
6,Tulsa,237,4,11,17,75,130,135,—,2020
7,BYU,254,1,12,69,70,102,108,—,2020
8,Iowa State,265,2,35,45,77,106,113,126,2020
9,Southern Utah,270,28,41,44,74,83,99,120,2020
10,Iona,311,22,26,48,97,118,162,171,2020
11,Utah State,351,25,36,78,93,119,137,150,2020
12,Ole Miss,373,16,27,42,141,147,191,201,2020
13,Butler,379,32,37,56,116,138,152,180,2020
14,Colorado,398,51,73,81,92,101,155,164,2020
15,Wake Forest,425,24,53,86,109,153,177,189,2020
16,Duke,462,59,82,91,98,132,134,146,2020
17,Michigan State,463,29,87,90,124,133,160,181,2020
18,Wisconsin,464,50,65,84,104,161,—,—,2020
19,Air Force,464,64,79,88,105,128,142,163,2020
20,Villanova,468,57,58,94,115,144,179,196,2020
21,Portland,472,52,76,103,114,127,139,188,2020
22,Georgetown,528,62,95,112,123,136,185,—,2020
23,NC State,547,46,72,122,151,156,169,—,2020
24,Furman,560,40,100,110,145,165,186,199,2020
25,Washington,568,43,89,125,143,168,182,—,2020
26,Indiana,572,61,71,107,166,167,172,195,2020
27,Gonzaga,591,47,66,117,178,183,190,192,2020
