Place,Team,Score,1,2,3,4,5,Year
1,Virginia,36,,,,,,1981
2,Oregon,83,,,,,,1981
3,Stanford,105,,,,,,1981
4,Michigan State,122,,,,,,1981
5,NC State,123,,,,,,1981
6,Clemson,152,,,,,,1981
7,San Diego State,169,,,,,,1981
8,Arizona,182,,,,,,1981
9,Missouri,234,,,,,,1981
10,Penn State,249,,,,,,1981
1,Virginia,48,,,,,,1982
2,Stanford,91,,,,,,1982
3,Oregon,155,,,,,,1982
4,Harvard,167,,,,,,1982
5,Clemson,171,,,,,,1982
6,Penn State,193,,,,,,1982
7,NC State,195,,,,,,1982
8,Iowa State,202,,,,,,1982
8,Michigan,202,,,,,,1982
10,Wisconsin,211,,,,,,1982
1,Oregon,95,,,,,,1983
2,Stanford,98,,,,,,1983
3,NC State,99,,,,,,1983
4,Tennessee,103,,,,,,1983
5,Wisconsin,107,,,,,,1983
6,Iowa State,137,,,,,,1983
7,Clemson,183,,,,,,1983
8,North Carolina,204,,,,,,1983
9,BYU,214,,,,,,1983
10,Minnesota,244,,,,,,1983
1,Wisconsin,63,,,,,,1984
2,Stanford,89,,,,,,1984
3,NC State,99,,,,,,1984
4,Oregon,119,,,,,,1984
5,Clemson,173,,,,,,1984
6,BYU,222,,,,,,1984
7,Missouri,223,,,,,,1984
8,Kansas State,242,,,,,,1984
9,Villanova,256,,,,,,1984
10,Houston,261,,,,,,1984
1,Wisconsin,58,,,,,,1985
2,Iowa State,98,,,,,,1985
3,NC State,103,,,,,,1985
4,Kentucky,118,,,,,,1985
5,Texas,143,,,,,,1985
6,UCLA,222,,,,,,1985
7,Kansas State,227,,,,,,1985
7,Washington State,227,,,,,,1985
9,BYU,244,,,,,,1985
10,Penn State,253,,,,,,1985
1,Texas,62,,,,,,1986
2,Wisconsin,64,,,,,,1986
3,Kentucky,159,,,,,,1986
4,Oregon,167,,,,,,1986
5,Clemson,171,,,,,,1986
6,Colorado,186,,,,,,1986
7,Yale,201,,,,,,1986
8,BYU,203,,,,,,1986
9,Kansas State,205,,,,,,1986
10,Arkansas,214,,,,,,1986
1,Oregon,98,,,,,,1987
2,NC State,101,,,,,,1987
3,Yale,116,,,,,,1987
4,Texas,143,,,,,,1987
5,UTEP,150,,,,,,1987
6,Wisconsin,155,,,,,,1987
7,Alabama,163,,,,,,1987
8,UC Irvine,216,,,,,,1987
9,Arkansas,222,,,,,,1987
10,Wake Forest,227,,,,,,1987
1,Kentucky,75,,,,,,1988
2,Oregon,126,,,,,,1988
3,Nebraska,139,,,,,,1988
4,NC State,141,,,,,,1988
5,Wisconsin,167,,,,,,1988
6,Indiana,169,,,,,,1988
7,Michigan,182,,,,,,1988
8,California,226,,,,,,1988
8,Yale,226,,,,,,1988
10,Georgetown,227,,,,,,1988
1,Villanova,97,,,,,,1989
2,Kentucky,164,,,,,,1989
3,Nebraska,181,,,,,,1989
4,Georgetown,189,,,,,,1989
5,Oklahoma State,202,,,,,,1989
6,Tennessee,223,,,,,,1989
7,Clemson,234,,,,,,1989
8,Iowa,245,,,,,,1989
9,Indiana,264,,,,,,1989
10,Providence,275,,,,,,1989
10,UC Irvine,275,,,,,,1989
1,Villanova,82,,,,,,1990
2,Providence,172,,,,,,1990
3,Clemson,204,,,,,,1990
4,UC Irvine,210,,,,,,1990
5,Oregon,221,,,,,,1990
6,Arkansas,224,,,,,,1990
7,Georgetown,234,,,,,,1990
8,BYU,250,,,,,,1990
9,Georgia,264,,,,,,1990
10,Wisconsin,266,,,,,,1990
1,Villanova,85,,,,,,1991
2,Arkansas,168,,,,,,1991
3,Northern Arizona,184,,,,,,1991
4,Cornell,189,,,,,,1991
5,Oregon,191,,,,,,1991
6,Georgetown,193,,,,,,1991
6,Wisconsin,193,,,,,,1991
8,NC State,202,,,,,,1991
9,Providence,212,,,,,,1991
10,Baylor,258,,,,,,1991
1,Villanova,123,,,,,,1992
2,Arkansas,130,,,,,,1992
3,Georgetown,131,,,,,,1992
4,Cornell,167,,,,,,1992
5,Providence,172,,,,,,1992
6,Penn State,179,,,,,,1992
6,Wisconsin,179,,,,,,1992
8,Michigan,186,,,,,,1992
9,Northern Arizona,267,,,,,,1992
10,BYU,285,,,,,,1992
1,Villanova,66,,,,,,1993
2,Arkansas,71,,,,,,1993
3,Georgetown,199,,,,,,1993
4,Cornell,205,,,,,,1993
5,Providence,213,,,,,,1993
6,Michigan,224,,,,,,1993
